config,sharpe,fold_median,frac_pos,worst_fold,growth_week,max_dd,ann_vol,avg_lev,frac_flat,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
vol 100%/w40 +van,0.8555848306638391,0.8838558922995708,0.75,-0.7991948091615052,0.007412831214931723,0.6070548855710141,0.7060555906003878,0.8624188280813987,0.7246558197747184,1.5498973415167214,1.2749563937726167,1.0346106952681322,0.7331010893310095,-0.16060194569459246,-0.7991948091615052,0.2378129380970174,1.5257362980384321
vol 100%/w60,1.5802785028420339,1.283807726529127,1.0,0.20654803622793907,0.02332430977862568,0.6835113346512998,1.1567285110821361,2.6703148283139444,0.11013767209011265,2.7633727827292427,2.4311085193226973,1.4905820092737838,0.20654803622793907,2.683344226717385,0.5581501080180279,1.0770334437844704,0.8813079158507929
vol 100%/w60 +van,0.8864579145055473,0.8535988804945789,0.875,-0.5632500014121633,0.0078106315814319115,0.5578628535154333,0.6960821324675649,0.8226140294848215,0.7296620775969962,1.583569641307981,1.8244285119624335,0.9666409105000279,0.7405568504891298,0.03711838796094726,-0.5632500014121633,0.14480500624610076,1.3308327230154433
vol 100%/w90,1.7737790541325802,1.555941951541695,1.0,0.39254982493141843,0.02725149066730301,0.6839158726084333,1.1696127938519938,2.718320012443752,0.01376720901126408,2.6795830306723953,2.7407531866514123,1.48413156106683,0.39254982493141843,2.728464332252955,0.4041424356181554,1.105763417896817,1.62775234201656
vol 100%/w90 +van,1.1858455928274287,1.3912694845712632,1.0,0.44821988417125197,0.01124215265142439,0.402856496887366,0.6756446841144313,0.9740485616241621,0.6370463078848561,1.5501097044346464,1.6745878862951065,1.5063203866459642,0.44821988417125197,1.5246268591088026,0.6088252886671601,0.6497057685210338,1.2762185824965622
vol 120%/w20,1.4499162946656274,1.3052759279329345,0.875,-0.030349215604069512,0.020948492784146882,0.8583928216016091,1.3504246083745304,3.3878775296360626,0.06132665832290363,2.727579195489818,2.620823093284768,1.5257759963131565,0.48527207798866484,2.334225687673494,-0.030349215604069512,1.0847758595527124,0.6799049153647773
vol 120%/w20 +van,0.6982295444332268,0.5743757416734959,0.75,-0.7551125765934271,0.004493384210959013,0.6477133826543653,0.6932661716157575,1.0138009933084178,0.704630788485607,1.5412867013969007,1.4840583385407262,0.9934288163604754,1.0321791533524451,0.03648716983123485,-0.35714066253349125,0.15532266698651642,-0.7551125765934271
vol 120%/w40,1.6146573489084066,1.3652040006249266,1.0,0.3826990111892774,0.026001159774004825,0.8227915491809425,1.369987371208769,3.329903604778548,0.030037546933667083,2.747411760746533,2.9010364418082464,1.6066507897630182,0.3826990111892774,2.645267474514136,0.5841843653626256,1.1237572114868353,0.7795552690795797
vol 120%/w40 +van,1.0397314613210293,1.1854857518689934,0.875,-0.681030382369645,0.010897391467812762,0.5422138524917098,0.8297604300619656,1.029384790606377,0.6946182728410513,1.594970746908685,1.82068882642148,1.102274020304388,0.9179430945763696,1.268697483433599,-0.681030382369645,0.15307656939388783,1.378917824581363
vol 120%/w60,1.7546990346087223,1.6348562960092965,1.0,0.20507186271693179,0.029889742699866124,0.756925885724046,1.3969132331118546,3.2813026391910873,0.012515644555694618,2.6663275643593938,2.893500095748073,1.525512367359685,0.20507186271693179,2.6809482435672356,0.6593233389127123,1.07703344378447,1.744200224658908
