c_lookback,c_min_periods,c_t_threshold,c_max_abs_weight,c_max_step,p_mode,p_n_positions,p_max_weight,p_vol_window,p_z_clip,p_vol_floor_pct,sharpe_train,sharpe_holdout,n_train,n_holdout,status
500,120,1.0,0.3,0.03,zscore_riskparity,16,0.3,60,2.0,0.1,2.2508446988564397,1.405305283311887,580,219,ok
500,120,1.0,0.3,0.03,zscore_riskparity,8,0.15,60,2.0,0.05,2.0047352801977625,1.0610911355149406,580,219,ok
500,120,1.0,0.3,0.03,rank_riskparity,12,0.3,40,2.0,0.05,2.375301679473964,1.1999788607760002,580,219,ok
500,120,1.0,0.3,0.03,zscore,12,0.2,40,2.5,0.05,2.216535648007183,1.4498593966079965,580,219,ok
500,120,1.0,0.3,0.03,zscore_riskparity,12,0.2,60,2.0,0.1,2.2322574431931357,1.1256518961673483,580,219,ok
250,180,1.5,0.3,0.1,zscore_riskparity,16,0.2,40,3.0,0.05,1.9431458680633344,0.8535944196237039,580,219,ok
250,180,1.5,0.3,0.1,rank_riskparity,16,0.3,60,2.5,0.1,2.104652168303068,0.8933110571428976,580,219,ok
250,180,1.5,0.3,0.1,rank_riskparity,8,0.2,40,3.0,0.05,1.7952509436059625,0.5289215798369629,580,219,ok
250,180,1.5,0.3,0.1,rank_binary,20,0.2,90,2.0,0.2,1.9688121558289762,1.1965570059695154,580,219,ok
250,180,1.5,0.3,0.1,rank_binary,16,0.15,90,3.0,0.1,2.2340793560554366,0.7753479286910588,580,219,ok
250,180,1.5,0.3,0.1,zscore,8,0.15,60,2.0,0.05,1.890629081524145,0.5078024208748145,580,219,ok
250,180,1.5,0.3,0.1,zscore,20,0.3,90,3.0,0.2,2.0021025223631503,0.9693562459475215,580,219,ok
250,180,1.5,0.3,0.1,zscore,16,0.15,40,3.0,0.2,2.080955973430287,0.6829178114397499,580,219,ok
250,180,1.5,0.3,0.1,zscore_riskparity,12,0.2,60,2.5,0.05,1.9565766063429575,0.6426543379458826,580,219,ok
250,180,1.5,0.3,0.1,zscore,20,0.15,60,3.0,0.2,1.9944750168076788,0.9693562459475215,580,219,ok
375,180,2.5,0.15,0.1,rank_binary,16,0.3,60,2.5,0.1,1.8408770562004941,0.33157887243925527,580,219,ok
375,180,2.5,0.15,0.1,zscore,12,0.3,60,3.0,0.1,1.9051454252029054,0.36018846188309916,580,219,ok
375,180,2.5,0.15,0.1,zscore_riskparity,12,0.2,40,3.0,0.2,1.8825137177358302,0.4130324758035299,580,219,ok
375,180,2.5,0.15,0.1,zscore_riskparity,12,0.3,60,3.0,0.05,1.7987228286210248,0.2063282090469551,580,219,ok
375,180,2.5,0.15,0.1,rank_binary,8,0.2,40,2.0,0.2,1.8290894520746968,0.4383850331281905,580,219,ok
375,180,2.5,0.15,0.1,zscore_riskparity,8,0.2,90,3.0,0.2,1.8340436201976833,0.5265852219635453,580,219,ok
375,180,2.5,0.15,0.1,rank_riskparity,12,0.15,40,2.5,0.05,1.7694834904445036,0.3560364146155024,580,219,ok
375,180,2.5,0.15,0.1,zscore,20,0.15,60,2.0,0.2,1.9544956040683095,0.4101170437955513,580,219,ok
375,180,2.5,0.15,0.1,rank_binary,16,0.2,60,2.0,0.2,1.8408770562004941,0.33157887243925527,580,219,ok
375,180,2.5,0.15,0.1,rank_riskparity,12,0.2,90,2.5,0.05,1.7047340375786004,0.3205434346910377,580,219,ok
375,180,2.5,0.45,0.1,rank_binary,12,0.15,90,3.0,0.1,1.6384815375052009,0.6514315628789785,580,219,ok
375,180,2.5,0.45,0.1,zscore_riskparity,12,0.15,90,2.5,0.1,1.619512038858806,0.5759387679779618,580,219,ok
375,180,2.5,0.45,0.1,rank_riskparity,12,0.2,90,2.5,0.05,1.6089199839685515,0.5842834584579003,580,219,ok
375,180,2.5,0.45,0.1,zscore,12,0.3,40,2.5,0.2,1.6210081692948584,0.5197372519906936,580,219,ok
375,180,2.5,0.45,0.1,rank_binary,12,0.3,90,3.0,0.2,1.6384815375052009,0.6514315628789785,580,219,ok
375,180,2.5,0.45,0.1,rank_binary,12,0.15,90,2.0,0.2,1.6384815375052009,0.6514315628789785,580,219,ok
375,180,2.5,0.45,0.1,rank_binary,20,0.3,90,3.0,0.1,1.4819853992517833,0.9418246361630985,580,219,ok
375,180,2.5,0.45,0.1,zscore,16,0.15,40,3.0,0.1,1.574463862270934,0.6866004383794502,580,219,ok
375,180,2.5,0.45,0.1,rank_binary,12,0.2,90,2.5,0.1,1.6384815375052009,0.6514315628789785,580,219,ok
375,180,2.5,0.45,0.1,rank_riskparity,20,0.3,60,2.0,0.2,1.4606696922268643,0.6692974287171732,580,219,ok
250,80,2.0,0.2,0.1,zscore_riskparity,12,0.15,90,2.5,0.2,1.5467186357143068,0.5362044898752637,580,219,ok
250,80,2.0,0.2,0.1,rank_binary,12,0.15,40,2.5,0.1,1.6542695873203876,0.4630851652257814,580,219,ok
250,80,2.0,0.2,0.1,zscore,16,0.15,40,3.0,0.1,1.4595567774917957,0.34299787992570896,580,219,ok
250,80,2.0,0.2,0.1,rank_binary,20,0.15,60,2.5,0.1,1.5090700270925363,0.5249010118179068,580,219,ok
250,80,2.0,0.2,0.1,zscore_riskparity,8,0.15,60,2.5,0.05,1.4467861148264438,0.5634138388250678,580,219,ok
250,80,2.0,0.2,0.1,rank_riskparity,12,0.2,60,2.5,0.1,1.5337420598452138,0.7096372681638707,580,219,ok
250,80,2.0,0.2,0.1,rank_riskparity,20,0.2,40,3.0,0.2,1.3502669823865232,0.8513618709755008,580,219,ok
250,80,2.0,0.2,0.1,zscore,16,0.2,60,2.0,0.2,1.420960163774723,0.3126674698987067,580,219,ok
250,80,2.0,0.2,0.1,rank_riskparity,12,0.2,60,2.0,0.05,1.4941705718327907,0.73579142768111,580,219,ok
250,80,2.0,0.2,0.1,zscore,8,0.3,90,2.5,0.2,1.4279964797470455,0.4512545189853898,580,219,ok
500,80,2.5,0.15,0.03,zscore,16,0.2,90,3.0,0.1,1.752049116413242,0.386549975136198,580,219,ok
500,80,2.5,0.15,0.03,rank_riskparity,16,0.3,40,2.0,0.1,1.5292240333158675,0.4697112096381042,580,219,ok
500,80,2.5,0.15,0.03,zscore,12,0.2,90,2.0,0.1,1.6485875433589838,0.7699298180562089,580,219,ok
500,80,2.5,0.15,0.03,rank_riskparity,12,0.2,40,2.0,0.1,1.4530522621235678,0.9618690977125609,580,219,ok
500,80,2.5,0.15,0.03,rank_riskparity,16,0.3,60,2.0,0.2,1.4919183421786781,0.47190886002058074,580,219,ok
500,80,2.5,0.15,0.03,zscore,12,0.3,40,2.0,0.2,1.6358487682713891,0.7699298180562089,580,219,ok
500,80,2.5,0.15,0.03,rank_riskparity,8,0.3,90,2.0,0.1,1.6950007836289673,0.717983138538155,580,219,ok
500,80,2.5,0.15,0.03,rank_riskparity,20,0.15,90,2.5,0.05,1.2967901812365,0.9117347974044562,580,219,ok
500,80,2.5,0.15,0.03,rank_binary,20,0.3,40,3.0,0.2,1.4464374413405892,0.7325226431608798,580,219,ok
500,80,2.5,0.15,0.03,rank_riskparity,16,0.15,40,2.5,0.05,1.5327920159009867,0.4541876934331509,580,219,ok
500,120,2.5,0.45,0.1,zscore_riskparity,20,0.3,90,3.0,0.05,1.3449419727842316,0.8044695272829708,580,219,ok
500,120,2.5,0.45,0.1,zscore,16,0.15,40,2.0,0.1,1.3979774292692253,0.6056675698003479,580,219,ok
500,120,2.5,0.45,0.1,rank_riskparity,8,0.2,40,3.0,0.05,1.6505452902689632,0.7865254123861278,580,219,ok
500,120,2.5,0.45,0.1,rank_riskparity,8,0.3,90,2.0,0.2,1.6636251764392125,0.5916163420676784,580,219,ok
500,120,2.5,0.45,0.1,rank_riskparity,16,0.2,90,2.0,0.2,1.3992385553402926,0.8209969371946156,580,219,ok
500,120,2.5,0.45,0.1,zscore_riskparity,16,0.2,40,3.0,0.2,1.493326279537207,0.8226265144718441,580,219,ok
500,120,2.5,0.45,0.1,zscore,12,0.15,40,2.0,0.1,1.5827156127715092,0.9178664423337005,580,219,ok
500,120,2.5,0.45,0.1,zscore,12,0.2,40,2.5,0.05,1.5580530996284758,0.8011308906407396,580,219,ok
500,120,2.5,0.45,0.1,zscore_riskparity,8,0.2,90,2.5,0.2,1.6415143006864552,0.5034889103869099,580,219,ok
500,120,2.5,0.45,0.1,rank_riskparity,8,0.3,90,2.5,0.2,1.6636251764392125,0.5916163420676784,580,219,ok
750,180,2.0,0.15,0.1,rank_binary,20,0.15,40,2.0,0.1,1.988984696414417,1.2840645647757627,580,219,ok
750,180,2.0,0.15,0.1,rank_binary,16,0.2,40,2.0,0.05,2.045638221549138,1.3846775838778245,580,219,ok
750,180,2.0,0.15,0.1,rank_riskparity,12,0.3,60,2.0,0.1,2.1124573060045595,1.3415525161088244,580,219,ok
750,180,2.0,0.15,0.1,zscore,12,0.15,40,3.0,0.2,2.0807509554376864,1.2716019275973929,580,219,ok
750,180,2.0,0.15,0.1,zscore,12,0.15,60,2.5,0.1,2.120973500195852,1.3039874046322706,580,219,ok
750,180,2.0,0.15,0.1,rank_binary,20,0.2,60,2.5,0.05,1.971746872187034,1.2840645647757627,580,219,ok
750,180,2.0,0.15,0.1,zscore,20,0.15,60,3.0,0.1,2.0136165136707636,1.2085825068450111,580,219,ok
750,180,2.0,0.15,0.1,rank_riskparity,12,0.3,90,2.0,0.2,2.1177663429141385,1.3871629644287482,580,219,ok
750,180,2.0,0.15,0.1,rank_riskparity,12,0.15,60,3.0,0.2,2.1558560087967833,1.3713209816414942,580,219,ok
750,180,2.0,0.15,0.1,rank_riskparity,16,0.15,40,3.0,0.05,1.8576882630978784,1.2927358048295536,580,219,ok
500,180,1.5,0.3,0.03,zscore,16,0.15,40,2.5,0.1,2.160046998103205,1.202153313138487,580,219,ok
500,180,1.5,0.3,0.03,zscore_riskparity,12,0.3,60,2.0,0.1,2.070910039296041,1.0905352474540708,580,219,ok
500,180,1.5,0.3,0.03,rank_riskparity,16,0.15,60,3.0,0.1,2.03615538937897,0.931753838780455,580,219,ok
500,180,1.5,0.3,0.03,rank_binary,12,0.3,60,3.0,0.05,2.1567297274693855,1.1961878631780796,580,219,ok
